trial,value,running_mean
0,269,269
1,495,382
2,281,348.3333333333333
3,344,347.25
4,418,361.4
5,324,355.1666666666667
6,79,315.7142857142857
7,137,293.375
8,307,294.8888888888889
9,474,312.8
10,290,310.72727272727275
11,430,320.6666666666667
12,243,314.6923076923077
13,443,323.85714285714283
14,406,329.3333333333333
15,428,335.5
16,15,316.6470588235294
17,95,304.3333333333333
18,413,310.05263157894734
19,302,309.65
20,56,297.57142857142856
21,129,289.90909090909093
22,398,294.60869565217394
23,280,294
24,144,288
25,34,278.2307692307692
26,463,285.0740740740741
27,394,288.9642857142857
28,123,283.2413793103448
29,102,277.2
30,241,276.03225806451616
31,90,270.21875
32,230,269
33,404,272.97058823529414
34,159,269.7142857142857
35,287,270.19444444444446
36,153,267.02702702702703
37,217,265.7105263157895
38,195,263.8974358974359
39,81,259.325
40,226,258.5121951219512
41,223,257.6666666666667
42,229,257
43,270,257.29545454545456
44,136,254.6
45,348,256.6304347826087
46,304,257.63829787234044
47,214,256.7291666666667
48,388,259.40816326530614
49,12,254.46
50,102,251.47058823529412
51,181,250.1153846153846
52,102,247.32075471698113
53,471,251.46296296296296
54,49,247.78181818181818
55,265,248.08928571428572
56,68,244.9298245614035
57,168,243.60344827586206
58,475,247.52542372881356
59,47,244.18333333333334
60,404,246.80327868852459
61,153,245.29032258064515
62,468,248.82539682539684
63,96,246.4375
64,178,245.3846153846154
65,221,245.0151515151515
66,200,244.34328358208955
67,80,241.9264705882353
68,206,241.40579710144928
69,281,241.97142857142856
70,199,241.3661971830986
71,75,239.05555555555554
72,71,236.75342465753425
73,446,239.5810810810811
74,480,242.78666666666666
75,387,244.68421052631578
76,349,246.03896103896105
77,382,247.78205128205127
78,28,245
79,338,246.1625
80,366,247.64197530864197
81,93,245.7560975609756
82,115,244.18072289156626
83,400,246.03571428571428
84,167,245.10588235294117
85,481,247.84883720930233
86,410,249.71264367816093
87,392,251.32954545454547
88,317,252.06741573033707
89,439,254.14444444444445
90,119,252.65934065934067
91,187,251.94565217391303
92,432,253.88172043010752
93,178,253.0744680851064
94,330,253.8842105263158
95,238,253.71875
96,276,253.94845360824743
97,30,251.66326530612244
98,313,252.2828282828283
99,293,252.69
100,219,252.35643564356437
101,448,254.27450980392157
102,369,255.38834951456312
103,224,255.08653846153845
104,131,253.9047619047619
105,14,251.64150943396226
106,208,251.2336448598131
107,205,250.80555555555554
108,102,249.44036697247705
109,73,247.83636363636364
110,210,247.4954954954955
111,268,247.67857142857142
112,409,249.10619469026548
113,422,250.62280701754386
114,198,250.16521739130434
115,226,249.95689655172413
116,5,247.86324786324786
117,361,248.82203389830508
118,123,247.76470588235293
119,390,248.95
120,161,248.22314049586777
121,256,248.28688524590163
122,399,249.5121951219512
123,6,247.5483870967742
124,283,247.832
125,330,248.484126984127
126,254,248.5275590551181
127,229,248.375
128,100,247.2248062015504
129,165,246.59230769230768
130,489,248.44274809160305
131,201,248.08333333333334
132,118,247.10526315789474
133,83,245.88059701492537
134,321,246.43703703703704
135,22,244.78676470588235
136,182,244.32846715328466
137,227,244.20289855072463
138,426,245.5107913669065
139,420,246.75714285714287
140,9,245.0709219858156
141,401,246.16901408450704
142,298,246.53146853146853
143,460,248.01388888888889
144,125,247.16551724137932
145,146,246.47260273972603
146,212,246.23809523809524
147,104,245.27702702702703
148,362,246.06040268456377
149,206,245.79333333333332
150,163,245.24503311258277
151,274,245.43421052631578
152,121,244.62091503267973
153,196,244.30519480519482
154,155,243.7290322580645
155,406,244.76923076923077
156,405,245.78980891719746
157,462,247.15822784810126
158,97,246.21383647798743
159,203,245.94375
160,82,244.92546583850933
161,252,244.96913580246914
162,367,245.71779141104295
163,99,244.8231707317073
164,342,245.4121212121212
165,363,246.12048192771084
166,261,246.20958083832335
167,102,245.35119047619048
168,417,246.36686390532543
169,286,246.6
170,330,247.08771929824562
171,24,245.7906976744186
172,140,245.17919075144508
173,456,246.39080459770116
174,260,246.46857142857144
175,475,247.76704545454547
176,445,248.88135593220338
177,456,250.04494382022472
178,234,249.95530726256985
179,131,249.29444444444445
180,454,250.4254143646409
181,498,251.78571428571428
182,1,250.4153005464481
183,201,250.14673913043478
184,212,249.94054054054055
185,483,251.19354838709677
186,0,249.85026737967914
187,27,248.66489361702128
188,367,249.2910052910053
189,52,248.25263157894736
190,131,247.63874345549738
191,116,246.953125
192,302,247.23834196891193
193,45,246.1958762886598
194,222,246.07179487179488
195,46,245.05102040816325
196,401,245.84263959390864
197,375,246.4949494949495
198,176,246.14070351758795
199,275,246.285
200,9,245.1044776119403
201,240,245.07920792079207
202,32,244.0295566502463
203,109,243.36764705882354
204,20,242.2780487804878
205,245,242.29126213592232
206,458,243.33333333333334
207,42,242.3653846153846
208,145,241.89952153110048
209,315,242.24761904761905
210,382,242.90995260663507
211,315,243.25
212,239,243.2300469483568
213,93,242.52803738317758
214,319,242.88372093023256
215,216,242.75925925925927
216,295,243
217,443,243.91743119266056
218,223,243.82191780821918
219,78,243.0681818181818
220,396,243.7601809954751
221,118,243.1936936936937
222,443,244.0896860986547
223,388,244.73214285714286
224,26,243.76
225,366,244.30088495575222
226,325,244.65638766519822
227,46,243.78508771929825
228,394,244.4410480349345
229,5,243.4
230,262,243.4805194805195
231,77,242.76293103448276
232,340,243.1802575107296
233,234,243.14102564102564
234,119,242.6127659574468
235,229,242.5550847457627
236,58,241.77637130801688
237,500,242.8613445378151
238,234,242.82426778242677
239,336,243.2125
240,201,243.03734439834025
241,363,243.53305785123968
242,42,242.7037037037037
243,173,242.41803278688525
244,453,243.27755102040817
245,344,243.6869918699187
246,23,242.79352226720647
247,139,242.375
248,478,243.32128514056225
249,15,242.408
250,88,241.79282868525897
251,190,241.5873015873016
252,332,241.94466403162056
253,121,241.46850393700788
254,413,242.14117647058825
255,191,241.94140625
256,48,241.18677042801556
257,281,241.34108527131784
258,271,241.45559845559845
259,129,241.02307692307693
260,437,241.77394636015325
261,70,241.11832061068702
262,389,241.680608365019
263,159,241.36742424242425
264,98,240.8264150943396
265,486,241.74812030075188
266,140,241.36704119850188
267,103,240.8507462686567
268,449,241.62453531598513
269,124,241.1888888888889
270,419,241.8450184501845
271,457,242.6360294117647
272,472,243.47619047619048
273,180,243.24452554744525
274,447,243.98545454545456
275,351,244.3731884057971
276,45,243.65342960288808
277,429,244.32014388489208
278,45,243.6057347670251
279,5,242.75357142857143
280,6,241.91103202846975
281,364,242.34397163120568
282,51,241.6678445229682
283,370,242.11971830985917
284,203,241.98245614035088
285,274,242.0944055944056
286,341,242.4390243902439
287,499,243.32986111111111
288,367,243.75778546712803
289,98,243.2551724137931
290,103,242.77319587628867
291,183,242.56849315068493
292,146,242.23890784982936
293,183,242.0374149659864
294,216,241.94915254237287
295,253,241.98648648648648
296,239,241.97643097643098
297,66,241.38590604026845
298,477,242.17391304347825
299,326,242.45333333333335
300,137,242.1029900332226
301,282,242.23509933774835
302,493,243.06270627062707
303,107,242.61513157894737
304,43,241.9606557377049
305,247,241.97712418300654
306,358,242.35504885993484
307,185,242.16883116883116
308,391,242.6504854368932
309,109,242.21935483870968
310,359,242.59485530546624
311,141,242.26923076923077
312,219,242.19488817891374
313,300,242.37898089171975
314,105,241.94285714285715
315,309,242.15506329113924
316,249,242.17665615141956
317,225,242.12264150943398
318,44,241.50156739811914
319,217,241.425
320,4,240.68535825545172
321,9,239.96583850931677
322,4,239.23529411764707
323,251,239.2716049382716
324,286,239.41538461538462
325,400,239.90797546012269
326,210,239.8165137614679
327,151,239.54573170731706
328,382,239.9787234042553
329,354,240.3242424242424
330,201,240.20543806646526
331,334,240.4879518072289
332,33,239.86486486486487
333,307,240.06586826347305
334,442,240.6686567164179
335,433,241.24107142857142
336,142,240.946587537092
337,435,241.5207100591716
338,298,241.6873156342183
339,468,242.35294117647058
340,178,242.1642228739003
341,402,242.6315789473684
342,205,242.52186588921282
343,392,242.95639534883722
344,189,242.8
345,125,242.45953757225433
